,Time,Temperatures,Populations,室外温度(C),产生CO2浓度(ppm),室内含热量(kJ),需求新风量(m3/h),热量调节需求(kW)
0,08:00,23.0,5,24.0,1714.2857142857142,13349.6442,1629.0909090909092,1359.4495515151516
1,08:10,23.1,5,24.1,1714.2857142857142,13414.402200000002,1629.0909090909092,1305.0528315151507
2,08:20,23.1,5,24.1,1714.2857142857142,13414.402200000002,1629.0909090909092,1305.0528315151507
3,08:30,23.4,5,24.4,1714.2857142857142,13608.6762,1629.0909090909092,1141.8626715151522
4,08:40,23.5,5,24.5,1714.2857142857142,13673.434200000002,1629.0909090909092,1087.4659515151516
5,08:50,23.6,1,24.6,342.85714285714283,13575.568200000002,-26880.00000000002,-3718.4459200000038
6,09:00,24.0,0,25.0,0.0,13793.9442,6720.0,1663.9672
7,09:10,24.1,0,25.1,0.0,13858.702200000002,6720.0,1609.5704799999994
8,09:20,23.0,1,24.0,342.85714285714283,13187.0202,-26880.00000000002,-3392.0656000000026
9,09:30,24.4,1,25.4,342.85714285714283,14093.6322,-26880.00000000002,-4153.619680000002
10,09:40,23.5,1,24.5,342.85714285714283,13510.810200000002,-26880.00000000002,-3664.0492000000027
11,09:50,23.6,1,24.6,342.85714285714283,13575.568200000002,-26880.00000000002,-3718.4459200000038
12,10:00,25.0,4,26.0,1371.4285714285713,14604.1482,1343.9999999999998,223.99999999999997
13,10:10,25.0,2,26.0,685.7142857142857,14522.8362,-746.6666666666671,-124.44444444444451
14,10:20,24.6,2,25.6,685.7142857142857,14263.8042,-746.6666666666671,93.14243555555467
15,10:30,24.4,2,25.4,685.7142857142857,14134.288199999999,-746.6666666666671,201.93587555555627
16,10:40,25.5,3,26.5,1028.5714285714287,14887.282200000001,790.5882352941178,-140.21889411764707
17,10:50,24.9,3,25.9,1028.5714285714287,14498.734199999999,790.5882352941178,186.16142588235374
18,11:00,25.5,1,26.5,342.85714285714283,14805.970200000002,-26880.00000000002,-4751.983600000003
19,11:10,25.7,1,26.7,342.85714285714283,14935.4862,-26880.00000000002,-4860.777040000003
20,11:20,25.3,1,26.3,342.85714285714283,14676.454200000002,-26880.00000000002,-4643.190160000003
21,11:30,26.0,3,27.0,1028.5714285714287,15211.0722,790.5882352941178,-412.2024941176471
22,11:40,26.2,2,27.2,685.7142857142857,15299.9322,-746.6666666666671,-777.2050844444441
23,11:50,26.6,2,27.6,685.7142857142857,15558.964200000002,-746.6666666666671,-994.7919644444453
