,Time,Temperatures,Populations,室外温度(C),产生CO2浓度(ppm),室内含热量(kJ),需求新风量(m3/h),热量调节需求(kW)
0,08:00,23.0,6,24.0,726.0504201680673,36304.7379,-1239.2899408284018,2875.9324765286
1,08:10,23.1,6,24.1,726.0504201680673,36369.4959,-1239.2899408284018,2721.8084365285977
2,08:20,23.1,6,24.1,726.0504201680673,36369.4959,-1239.2899408284018,2721.8084365285977
3,08:30,23.4,6,24.4,726.0504201680673,36563.7699,-1239.2899408284018,2259.4363165286018
4,08:40,23.5,6,24.5,726.0504201680673,36628.5279,-1239.2899408284018,2105.3122765286
5,08:50,23.6,6,24.6,726.0504201680673,36693.2859,-1239.2899408284018,1951.1882365285978
6,09:00,24.0,13,25.0,1573.1092436974789,37236.9099,4335.8415841584165,2263.880664026403
7,09:10,24.1,13,25.1,1573.1092436974789,37301.66789999999,4335.8415841584165,2109.7566240264005
8,09:20,23.0,13,24.0,1573.1092436974789,36589.3299,4335.8415841584165,3805.121064026403
9,09:30,24.4,7,25.4,847.0588235294118,37252.00589999999,614.1935483870975,1027.1098313978518
10,09:40,23.5,7,24.5,847.0588235294118,36669.183899999996,614.1935483870975,2414.2261913978496
11,09:50,23.6,7,24.6,847.0588235294118,36733.9419,614.1935483870975,2260.1021513978476
12,10:00,25.0,0,26.0,0.0,37355.961899999995,19040.0,3173.3333333333335
13,10:10,25.0,0,26.0,0.0,37355.961899999995,19040.0,3173.3333333333335
14,10:20,24.6,6,25.6,726.0504201680673,37340.8659,-1239.2899408284018,409.94783652859746
15,10:30,24.4,6,25.4,726.0504201680673,37211.3499,-1239.2899408284018,718.195916528602
16,10:40,25.5,6,26.5,726.0504201680673,37923.6879,-1239.2899408284018,-977.1685234714004
17,10:50,24.9,6,25.9,726.0504201680673,37535.139899999995,-1239.2899408284018,-52.4242834713981
18,11:00,25.5,9,26.5,1089.0756302521008,38045.6559,2615.7188498402556,-334.6670583599574
19,11:10,25.7,9,26.7,1089.0756302521008,38175.1719,2615.7188498402556,-642.9151383599564
20,11:20,25.3,9,26.3,1089.0756302521008,37916.1399,2615.7188498402556,-26.418978359958487
21,11:30,26.0,9,27.0,1089.0756302521008,38369.4459,2615.7188498402556,-1105.2872583599574
22,11:40,26.2,9,27.2,1089.0756302521008,38498.961899999995,2615.7188498402556,-1413.5353383599563
23,11:50,26.6,9,27.6,1089.0756302521008,38757.9939,2615.7188498402556,-2030.0314983599592
