,Time,Temperatures,Populations,室外温度(C),产生CO2浓度(ppm),室内含热量(kJ),需求新风量(m3/h),热量调节需求(kW)
0,08:00,23.0,12,24.0,8228.57142857143,7384.8441,1203.3057851239669,1016.5017641873278
1,08:10,23.1,12,24.1,8228.57142857143,7449.602100000001,1203.3057851239669,989.3034041873275
2,08:20,23.1,12,24.1,8228.57142857143,7449.602100000001,1203.3057851239669,989.3034041873275
3,08:30,23.4,20,24.4,13714.285714285714,7969.124099999999,1226.7528271405495,911.6161645234253
4,08:40,23.5,20,24.5,13714.285714285714,8033.8821,1226.7528271405495,884.4178045234249
5,08:50,23.6,20,24.6,13714.285714285714,8098.6401000000005,1226.7528271405495,857.2194445234245
6,09:00,24.0,12,25.0,8228.57142857143,8032.4241,1203.3057851239669,744.5181641873278
7,09:10,24.1,12,25.1,8228.57142857143,8097.182100000002,1203.3057851239669,717.3198041873275
8,09:20,23.0,12,24.0,8228.57142857143,7384.8441,1203.3057851239669,1016.5017641873278
9,09:30,24.4,12,25.4,8228.57142857143,8291.4561,1203.3057851239669,635.7247241873281
10,09:40,23.5,16,24.5,10971.42857142857,7871.2581,1218.0855397148678,882.9732566191446
11,09:50,23.6,16,24.6,10971.42857142857,7936.016100000001,1218.0855397148678,855.7748966191442
12,10:00,25.0,17,26.0,11657.142857142857,8883.2841,1220.6500956022944,475.42528260038245
13,10:10,25.0,17,26.0,11657.142857142857,8883.2841,1220.6500956022944,475.42528260038245
14,10:20,24.6,17,25.6,11657.142857142857,8624.252100000002,1220.6500956022944,584.2187226003821
15,10:30,24.4,17,25.4,11657.142857142857,8494.736099999998,1220.6500956022944,638.6154426003827
16,10:40,25.5,20,26.5,13714.285714285714,9329.0421,1226.7528271405495,340.4506045234249
17,10:50,24.9,20,25.9,13714.285714285714,8940.4941,1226.7528271405495,503.64076452342533
18,11:00,25.5,19,26.5,13028.57142857143,9288.3861,1224.940374787053,340.1485291311755
19,11:10,25.7,12,26.7,8228.57142857143,9133.310099999999,1203.3057851239669,282.146044187328
20,11:20,25.3,12,26.3,8228.57142857143,8874.278100000001,1203.3057851239669,390.9394841873276
21,11:30,26.0,18,27.0,12342.857142857143,9571.5201,1222.918918918919,203.81981981981983
22,11:40,26.2,18,27.2,12342.857142857143,9701.0361,1222.918918918919,149.42309981982004
23,11:50,26.6,18,27.6,12342.857142857143,9960.0681,1222.918918918919,40.62965981981944
