,Time,Temperatures,Populations,室外温度(C),产生CO2浓度(ppm),室内含热量(kJ),需求新风量(m3/h),热量调节需求(kW)
0,08:00,23.0,8,24.0,1075.6302521008404,32844.72771,2283.562296858072,3154.826436143012
1,08:10,23.1,8,24.1,1075.6302521008404,32909.48571,2283.562296858072,3016.11480014301
2,08:20,23.1,5,24.1,672.2689075630251,32787.51771,-2204.8577878103865,2268.0447860316003
3,08:30,23.4,5,24.4,672.2689075630251,32981.79171,-2204.8577878103865,1851.909878031604
4,08:40,23.5,5,24.5,672.2689075630251,33046.54971,-2204.8577878103865,1713.1982420316021
5,08:50,23.6,5,24.6,672.2689075630251,33111.30771,-2204.8577878103865,1574.4866060316
6,09:00,24.0,5,25.0,672.2689075630251,33370.33971,-2204.8577878103865,1019.6400620316022
7,09:10,24.1,5,25.1,672.2689075630251,33435.097709999995,-2204.8577878103865,880.9284260316003
8,09:20,23.0,5,24.0,672.2689075630251,32722.75971,-2204.8577878103865,2406.756422031602
9,09:30,24.4,5,25.4,672.2689075630251,33629.37170999999,-2204.8577878103865,464.79351803160426
10,09:40,23.5,5,24.5,672.2689075630251,33046.54971,-2204.8577878103865,1713.1982420316021
11,09:50,23.6,5,24.6,672.2689075630251,33111.30771,-2204.8577878103865,1574.4866060316
12,10:00,25.0,6,26.0,806.7226890756303,34058.57571,85.2537313432847,14.208955223880782
13,10:10,25.0,6,26.0,806.7226890756303,34058.57571,85.2537313432847,14.208955223880782
14,10:20,24.6,8,25.6,1075.6302521008404,33880.855709999996,2283.562296858072,935.4402601430099
15,10:30,24.4,8,25.4,1075.6302521008404,33751.33971,2283.562296858072,1212.863532143014
16,10:40,25.5,10,26.5,1344.5378151260502,34544.98971,3349.998390989541,-135.2251148350765
17,10:50,24.9,10,25.9,1344.5378151260502,34156.44171,3349.998390989541,697.0447011649255
18,11:00,25.5,6,26.5,806.7226890756303,34382.36571,85.2537313432847,-679.3492247761192
19,11:10,25.7,6,26.7,806.7226890756303,34511.88171,85.2537313432847,-956.7724967761181
20,11:20,25.3,6,26.3,806.7226890756303,34252.84971,85.2537313432847,-401.92595277612025
21,11:30,26.0,6,27.0,806.7226890756303,34706.15571,85.2537313432847,-1372.9074047761192
22,11:40,26.2,13,27.2,1747.8991596638657,35120.26371,4206.9228090539755,-963.3858304910032
23,11:50,26.6,13,27.6,1747.8991596638657,35379.29571,4206.9228090539755,-1518.2323744910059
