,Time,Temperatures,Populations,室外温度(C),产生CO2浓度(ppm),室内含热量(kJ),需求新风量(m3/h),热量调节需求(kW)
0,08:00,23.0,3,24.0,2057.1428571428573,7018.9401,901.4634146341463,694.2111024390244
1,08:10,23.1,3,24.1,2057.1428571428573,7083.6981000000005,901.4634146341463,667.012742439024
2,08:20,23.1,3,24.1,2057.1428571428573,7083.6981000000005,901.4634146341463,667.012742439024
3,08:30,23.4,5,24.4,3428.5714285714284,7359.284099999999,1058.6301369863013,611.6121161643839
4,08:40,23.5,5,24.5,3428.5714285714284,7424.0421,1058.6301369863013,584.4137561643836
5,08:50,23.6,5,24.6,3428.5714285714284,7488.8001,1058.6301369863013,557.2153961643832
6,09:00,24.0,3,25.0,2057.1428571428573,7666.5201,901.4634146341463,422.2275024390244
7,09:10,24.1,3,25.1,2057.1428571428573,7731.278100000001,901.4634146341463,395.029142439024
8,09:20,23.0,3,24.0,2057.1428571428573,7018.9401,901.4634146341463,694.2111024390244
9,09:30,24.4,3,25.4,2057.1428571428573,7925.552099999999,901.4634146341463,313.43406243902473
10,09:40,23.5,3,24.5,2057.1428571428573,7342.7301,901.4634146341463,558.2193024390244
11,09:50,23.6,3,24.6,2057.1428571428573,7407.4881000000005,901.4634146341463,531.020942439024
12,10:00,25.0,7,26.0,4800.0,8476.7241,1120.0,186.66666666666666
13,10:10,25.0,7,26.0,4800.0,8476.7241,1120.0,186.66666666666666
14,10:20,24.6,7,25.6,4800.0,8217.6921,1120.0,295.46010666666626
15,10:30,24.4,3,25.4,2057.1428571428573,7925.552099999999,901.4634146341463,313.43406243902473
16,10:40,25.5,5,26.5,3428.5714285714284,8719.2021,1058.6301369863013,40.44655616438354
17,10:50,24.9,5,25.9,3428.5714285714284,8330.6541,1058.6301369863013,203.63671616438393
18,11:00,25.5,3,26.5,2057.1428571428573,8637.8901,901.4634146341463,14.252102439024355
19,11:10,25.7,5,26.7,3428.5714285714284,8848.718099999998,1058.6301369863013,-13.950163835616252
20,11:20,25.3,3,26.3,2057.1428571428573,8508.3741,901.4634146341463,68.64882243902417
21,11:30,26.0,9,27.0,6171.428571428572,9205.6161,1152.7007299270072,-79.86681167883216
22,11:40,26.2,9,27.2,6171.428571428572,9335.132099999999,1152.7007299270072,-134.26353167883195
23,11:50,26.6,9,27.6,6171.428571428572,9594.164100000002,1152.7007299270072,-243.0569716788325
